-4.392849747985966280e-01,-2.655442682874949445e-01,-9.765895039736833816e-01,-3.286307993114458426e-01,1.549524863906728278e+00,-1.997603569460278283e+00
-4.840276182951857020e-01,-3.028352951157651241e-01,-1.126410164725011542e+00,-3.924819322310129643e-01,1.612042887850684059e+00,-1.984857831684319063e+00
-5.318516584273581538e-01,-3.449156659822960602e-01,-1.260077215803659723e+00,-4.512638066600201392e-01,1.647295028144685869e+00,-1.895036865077322386e+00
-5.812991705279089150e-01,-3.913399611054967364e-01,-1.377180324799035960e+00,-5.040044966611448851e-01,1.652438220167061544e+00,-1.738628517931684936e+00
-6.309122299296328062e-01,-4.416627607037764691e-01,-1.477309159300548513e+00,-5.497320762970651087e-01,1.624629399296140697e+00,-1.526120638539804730e+00
-6.792329119653246483e-01,-4.954386449955441862e-01,-1.560053386897604533e+00,-5.874746196304585499e-01,1.561025500910251829e+00,-1.268001075194078897e+00
-7.248032919677793728e-01,-5.522221941992091487e-01,-1.625002675179612499e+00,-6.162602007240027824e-01,1.458783460387723885e+00,-9.747576761869046758e-01
-7.661654452697915785e-01,-6.115679885331801735e-01,-1.671746691735979118e+00,-6.351168936403753795e-01,1.315060213106884479e+00,-6.568782898106794166e-01
-8.019467209331880841e-01,-6.730056996080703291e-01,-1.699883320600800607e+00,-6.430479054750248835e-01,1.127482487328036687e+00,-3.249277047671070284e-01
-8.320504156690133879e-01,-7.356922924585814760e-01,-1.709133388165721579e+00,-6.386843598137473821e-01,9.007065048047135924e-01,9.378033747299022171e-03
-8.573620532153088947e-01,-7.984978218592453381e-01,-1.699312362092679773e+00,-6.203709496198090978e-01,6.447998053013282993e-01,3.334366410066043063e-01
-8.787924236001997125e-01,-8.602849622563581988e-01,-1.670238144545742154e+00,-5.864449998661867003e-01,3.699691264732490326e-01,6.346230351265617076e-01
-8.972523168518102832e-01,-9.199163880962161199e-01,-1.621728637688975017e+00,-5.352438355258561931e-01,8.642120597584281028e-02,9.003121342229242208e-01
-9.136525229982661589e-01,-9.762547738251160512e-01,-1.553601743686446657e+00,-4.651047815717943568e-01,-1.956372185355219617e-01,1.117878856411445021e+00
-9.289038320676920035e-01,-1.028162793889353388e+00,-1.465675364702223149e+00,-3.743651629769770839e-01,-4.659994094054779046e-01,1.274698119807876395e+00
-9.439155875113981464e-01,-1.074504391526796443e+00,-1.357771089355248151e+00,-2.613721320230321665e-01,-7.144681259826555220e-01,1.358175761942071125e+00
-9.592904584960586511e-01,-1.114412493788530245e+00,-1.230492034698347892e+00,-1.265562304256488968e-01,-9.328594924634254770e-01,1.362272536133027456e+00
-9.749468833551714342e-01,-1.147620166139092790e+00,-1.086185010941075557e+00,2.500368310744917680e-02,-1.117481715935576769e+00,1.295574078568920706e+00
-9.907107195061172211e-01,-1.173941676703615267e+00,-9.274327614051002255e-01,1.875998021148598260e-01,-1.265250811742819614e+00,1.168644867940310528e+00
-1.006407824366277515e+00,-1.193191293607229087e+00,-7.568180294120899765e-01,3.555243201351809268e-01,-1.373082795228864450e+00,9.920493829377554640e-01
-1.021864055353033374e+00,-1.205183284975065661e+00,-5.769235582837148879e-01,5.230694307070090643e-01,-1.437893681737421714e+00,7.763521022518167225e-01
-1.036905269883765301e+00,-1.209731918932255956e+00,-3.903320913416423732e-01,6.845273273689423954e-01,-1.456599486612201177e+00,5.321175045730517361e-01
-1.051357325375855245e+00,-1.206651463603931829e+00,-1.996263719075410947e-01,8.341902036595794101e-01,-1.426116225196913723e+00,2.699100685920198250e-01
-1.065093590600460161e+00,-1.195796876181700163e+00,-7.440075847127690899e-03,9.665939018456376486e-01,-1.344313682263120535e+00,3.180935692006444412e-04
-1.078338572927742156e+00,-1.177323831489091921e+00,1.832166976405301961e-01,1.078074980575105757e+00,-1.216110594760096308e+00,-2.658940723353624969e-01
-1.091474161087247152e+00,-1.151522786882339666e+00,3.691651353042091355e-01,1.165777084907873462e+00,-1.049585060866871089e+00,-5.178831753237688185e-01
-1.104882986173424175e+00,-1.118684835484339279e+00,5.472256280716847332e-01,1.226847666915207524e+00,-8.528300814097855564e-01,-7.448055894017124867e-01
-1.118947679280722474e+00,-1.079101070417986419e+00,7.142185668707314861e-01,1.258434178668373926e+00,-6.339386572151811672e-01,-9.358176885748858975e-01
-1.134050871503590630e+00,-1.033062584806177187e+00,8.669643426291239185e-01,1.257684072238639317e+00,-4.010037891093997109e-01,-1.080075846848981724e+00
-1.150575193936477669e+00,-9.808604717718074628e-01,1.002283346274637665e+00,1.221744799697269901e+00,-1.621184779187816449e-01,-1.166736438229694084e+00
-1.168887347768396978e+00,-9.227813675952938333e-01,1.117040681336385566e+00,1.147861146074567573e+00,7.465798544148674609e-02,-1.185184314866875921e+00
-1.188734759114530970e+00,-8.589386488056608426e-01,1.209839653720455432e+00,1.037061715183332122e+00,3.025767828523181491e-01,-1.133686416764579930e+00
-1.209060393865539096e+00,-7.892206213867181130e-01,1.281541555700457025e+00,8.952904252676482377e-01,5.165914467078882577e-01,-1.022047830206916474e+00
-1.228753454481233520e+00,-7.135005494789059544e-01,1.333158584579511308e+00,7.288196933083435081e-01,7.117692803525186296e-01,-8.608447552145320758e-01
-1.246703143421425519e+00,-6.316516972226644544e-01,1.365702937660740357e+00,5.439219362862448559e-01,8.831775871305299619e-01,-6.606533918080728096e-01
-1.261798663145927257e+00,-5.435473287584345892e-01,1.380186812247265138e+00,3.468695711821812577e-01,1.025883670386241731e+00,-4.320499400081863617e-01
-1.272929216114550455e+00,-4.490607082266570016e-01,1.377622405642207504e+00,1.439350149769816900e-01,1.134954833463974300e+00,-1.856105998355215003e-01
-1.278984004787107054e+00,-3.480650997677723346e-01,1.359021915148688864e+00,-5.860931534852690389e-02,1.205458379708048700e+00,6.808842868927592051e-02
-1.279311117080226046e+00,-2.406550859850926372e-01,1.325431879113481592e+00,-2.551741015878470908e-01,1.233712859926754835e+00,3.186356089240239275e-01
-1.275094182737801507e+00,-1.278105233334238255e-01,1.278036200057965033e+00,-4.429024206317928036e-01,1.221041814784261881e+00,5.562780577403861892e-01
-1.267975716960544785e+00,-1.073258673044158798e-02,1.218053121547168161e+00,-6.196204481455120927e-01,1.170020032408709554e+00,7.714275553884959447e-01
-1.259598234949166784e+00,1.093775489061773604e-01,1.146700887146120840e+00,-7.831543597941512669e-01,1.083222300928236459e+00,9.544958821184843512e-01
-1.251604251904379961e+00,2.313187086587562835e-01,1.065197740419853378e+00,-9.313303312428568015e-01,9.632234084709824229e-01,1.095894818180482400e+00
-1.245636283026894331e+00,3.538897176096196806e-01,9.747619249333943081e-01,-1.061974538156776227e+00,8.125981431650846076e-01,1.186036143824622080e+00
-1.243336843517421020e+00,4.758894008410886056e-01,8.766116842517743812e-01,-1.172913156201052853e+00,6.339212931386846162e-01,1.215331639301032496e+00
-1.246206170694523552e+00,5.961220590857232438e-01,7.719704783878389431e-01,-1.261972426220121513e+00,4.300088314310283599e-01,1.174967466748611855e+00
-1.253615603195718631e+00,7.134739250277567502e-01,6.621398208698910937e-01,-1.326979564333661488e+00,2.072855719734871816e-01,1.067716835827056787e+00
-1.263297649238216191e+00,8.268943027300594828e-01,5.484813109769997030e-01,-1.365762537430167844e+00,-2.504557843758378408e-02,9.052726883222268484e-01
-1.272942660629698741e+00,9.353341186703886256e-01,4.323580936023977972e-01,-1.376149331710516899e+00,-2.577102508099503031e-01,6.995574125055384895e-01
-1.280240989177850341e+00,1.037744299326501363e+00,3.151333136393200673e-01,-1.355967933375586076e+00,-4.814340761513772327e-01,4.624933966484102155e-01
-1.282882986690354388e+00,1.133075771176153879e+00,1.981701159810007329e-01,-1.303046328626251915e+00,-6.869426854696285556e-01,2.060030290222603089e-01
-1.278559004974894275e+00,1.220279460697104135e+00,8.283164552067305564e-02,-1.215212503663390731e+00,-8.649617097724705550e-01,-5.799130210149594511e-02
-1.264964128661059117e+00,1.298307220308794641e+00,-2.951898654522043530e-02,-1.090306017535703553e+00,-1.006231260756248025e+00,-3.175707090136062338e-01
-1.240796800622440577e+00,1.366307202068432591e+00,-1.375258127405051822e-01,-9.286198730304434656e-01,-1.104561356097051084e+00,-5.615584231849423125e-01
-1.206994088494013795e+00,1.423865528451441653e+00,-2.398488041724278208e-01,-7.359210299553159418e-01,-1.160611379171050839e+00,-7.804334419929566113e-01
-1.164795960512718498e+00,1.470627582201246897e+00,-3.351500885430295229e-01,-5.187171103787265869e-01,-1.175967477423771390e+00,-9.648987987940002009e-01
-1.115442384915491969e+00,1.506238746061275169e+00,-4.220917935543541111e-01,-2.835157363690756771e-01,-1.152215798300739502e+00,-1.105657526944429092e+00
-1.060173329939273046e+00,1.530344402774952650e+00,-4.993360469084442976e-01,-3.682452999476594491e-02,-1.090942489247480829e+00,-1.193412659800597186e+00
-1.000228763821000566e+00,1.542589935085706188e+00,-5.655449763073431280e-01,2.148488866758005988e-01,-9.937336977095211354e-01,-1.218867230718859496e+00
-9.368486547976122569e-01,1.542620725736961740e+00,-6.193807094530938695e-01,4.649968915742238029e-01,-8.621755711323852989e-01,-1.172724273055569810e+00
-8.712915725502052844e-01,1.530198747607336651e+00,-6.597026402191100702e-01,7.072910757359953671e-01,-6.983541710021282656e-01,-1.047895589012857176e+00
-8.049535630581025059e-01,1.505947647543343093e+00,-6.868280827766009011e-01,9.367275270426115297e-01,-5.080502360105747517e-01,-8.536171630436563129e-01
-7.392922895843986320e-01,1.470877277214312828e+00,-7.017277954894438619e-01,1.148895976782232209e+00,-2.987004701087956904e-01,-6.064415264025279084e-01
-6.757657060397554982e-01,1.425999310010440002e+00,-7.053756190054435438e-01,1.339388956447758350e+00,-7.774938840475047186e-02,-3.229557223572550040e-01
-6.158317663348323867e-01,1.372325419321918538e+00,-6.987453939724050933e-01,1.503798997532098225e+00,1.473584939936070370e-01,-1.974679417561422609e-02
-5.609484243802899117e-01,1.310867278538943248e+00,-6.828109610381338790e-01,1.637718631528157776e+00,3.691786619783210543e-01,2.865982148746160085e-01
-5.125736340867882435e-01,1.242636561051707611e+00,-6.585461608504343811e-01,1.736740389928841832e+00,5.802666004414355205e-01,5.794922615256568044e-01
-4.721186756728515399e-01,1.168640938039345212e+00,-6.269309746202721412e-01,1.796567482094499901e+00,7.732098237083171455e-01,8.425160553890801429e-01
-4.391803895752105502e-01,1.089732494726011858e+00,-5.891840979514678667e-01,1.817205719482299031e+00,9.418409903246774961e-01,1.065771699261107486e+00
-4.109985947777185511e-01,1.006561204677305810e+00,-5.468343248874345530e-01,1.804250145855246457e+00,1.081610245218938005e+00,1.247832816345046947e+00
-3.846555865532690910e-01,9.197635339964946866e-01,-5.014311738722513345e-01,1.763669342778965810e+00,1.188075832656976694e+00,1.387839195812003990e+00
-3.572336601747566620e-01,8.299759487868489938e-01,-4.545241633499983447e-01,1.701431891819082054e+00,1.256795996904669810e+00,1.484930626833081746e+00
-3.258151109150748681e-01,7.378349151516367943e-01,-4.076628117647544958e-01,1.623506374541218600e+00,1.283328982227895709e+00,1.538246898579386013e+00
-2.874822340471175908e-01,6.439768991941270393e-01,-3.623966375605989221e-01,1.535861372510999967e+00,1.263233032892532082e+00,1.546927800222021254e+00
