M,componente,bloque,picp,ace,mpiw,winkler,sd_predictiva,rmse,mpiw_sobre_rmse
1,FPC 1,train,0.9628040057224606,0.012804005722460654,0.8506950187662718,0.9519035383902477,0.22052375355291204,0.21017346533780418,4.047585252491225
1,FPC 1,test,0.9633333333333334,0.01333333333333342,0.8508800872615537,0.9703715362440553,0.2203841132615842,0.19798215296055252,4.297761563544011
2,FPC 1,train,0.9613733905579399,0.011373390557939955,0.8459880153100949,0.9472260248372001,0.2196610658539298,0.2076260141491825,4.074576197866224
2,FPC 1,test,0.9666666666666667,0.01666666666666672,0.845924584139371,0.9625795871865296,0.21949632506379507,0.19545933597539086,4.3278801696424285
2,FPC 2,train,0.9713876967095851,0.02138769670958518,0.5294337552120756,0.5989396032694165,0.14746885932291345,0.12549362117927343,4.2188100896041165
2,FPC 2,test,0.9633333333333334,0.01333333333333342,0.5286417285092174,0.6054524836735549,0.14732165776194003,0.12675466964343016,4.170589769957383
8,FPC 1,train,0.9570815450643777,0.007081545064377748,0.8434740049603295,0.9421126726370042,0.21823852556032786,0.20731500509368217,4.06856225664504
8,FPC 1,test,0.9633333333333334,0.01333333333333342,0.8424424308739444,0.9606437243757606,0.21810452368849031,0.19512308256385918,4.317492424804394
8,FPC 2,train,0.9713876967095851,0.02138769670958518,0.523347481593852,0.5959292787421082,0.1395838363205538,0.1253730368140118,4.174322445185935
8,FPC 2,test,0.96,0.010000000000000009,0.5238481080743174,0.6042854250842341,0.13952381390459934,0.12674838186096243,4.1329766927435525
8,FPC 3,train,0.9470672389127325,-0.002932761087267477,0.4313455725762891,0.5046759461231305,16.321309194514047,0.10511202669557222,4.1036747757282015
8,FPC 3,test,0.97,0.020000000000000018,0.43108041632672134,0.47856249445608073,16.25549255115656,0.10027827380676478,4.298841613063752
8,FPC 4,train,0.9670958512160229,0.017095851216022973,0.38144229520458683,0.4240943729657058,0.740155785667822,0.09297825183117628,4.102489428357766
8,FPC 4,test,0.9666666666666667,0.01666666666666672,0.3812301063227156,0.4333905899064614,0.7393130220522158,0.09318917273032684,4.09092703747815
8,FPC 5,train,0.9513590844062947,0.0013590844062947305,0.3500195402060455,0.40439787479976513,3.883678693773363,0.08355966976538963,4.188857390039894
8,FPC 5,test,0.9833333333333333,0.033333333333333326,0.3500174021186927,0.36746527291286846,3.881329824139534,0.08314438493998698,4.209753940345253
8,FPC 6,train,0.9642346208869814,0.014234620886981464,0.31485823482829267,0.34967470357541713,7.704881380299748,0.07509354708241105,4.192880041779795
8,FPC 6,test,0.9566666666666667,0.00666666666666671,0.3151772581723828,0.3675580966334669,7.698090199900662,0.07823302597443045,4.028698292654496
8,FPC 7,train,0.9628040057224606,0.012804005722460654,0.2976568931551151,0.3280764008937493,4.283668480931275,0.07062101118317239,4.214848926236289
8,FPC 7,test,0.97,0.020000000000000018,0.2974818896489838,0.3315346979542922,4.293471646601212,0.07112342720015594,4.182614665232718
8,FPC 8,train,0.9713876967095851,0.02138769670958518,0.2930394524615124,0.32118653968505806,1.3235420868914984,0.06940198175736573,4.222349924905592
8,FPC 8,test,0.95,0.0,0.29298830510675905,0.34388290672672595,1.323792971929551,0.07128789584385328,4.109930607974617
