t,bloque,banda,I_t_puntual,I_t_simultaneo
2,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
3,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
4,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
5,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
6,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
7,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
8,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
9,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
10,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
11,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
12,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
13,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
14,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
15,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
16,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
17,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
18,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
19,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
20,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
21,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
22,train,PSBPM-FD (predictiva bayesiana),0.9795918367346939,0.0
23,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
24,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
25,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
26,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
27,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
28,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
29,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
30,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
31,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
32,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
33,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
34,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
35,train,PSBPM-FD (predictiva bayesiana),0.9795918367346939,0.0
36,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
37,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
38,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
39,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
40,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
41,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
42,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
43,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
44,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
45,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
46,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
47,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
48,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
49,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
50,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
51,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
52,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
53,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
54,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
55,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
56,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
57,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
58,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
59,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
60,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
61,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
62,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
63,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
64,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
65,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
66,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
67,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
68,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
69,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
70,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
71,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
72,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
73,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
74,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
75,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
76,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
77,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
78,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
79,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
80,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
81,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
82,train,PSBPM-FD (predictiva bayesiana),0.9387755102040817,0.0
83,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
84,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
85,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
86,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
87,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
88,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
89,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
90,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
91,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
92,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
93,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
94,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
95,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
96,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
97,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
98,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
99,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
100,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
101,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
102,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
103,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
104,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
105,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
106,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
107,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
