M,componente,bloque,picp,ace,mpiw,winkler,sd_predictiva,rmse,mpiw_sobre_rmse
6,FPC 1,train,0.9728183118741058,0.02281831187410588,3.3945981128319813,3.523211625446824,1.000303231127671,0.9148123613481614,3.7107042452174053
6,FPC 1,test,0.9733333333333334,0.023333333333333428,3.4303750085234634,3.5301149843875304,1.0105943217024473,0.8214990878414526,4.175750234290604
6,FPC 2,train,0.9399141630901288,-0.010085836909871193,2.2407681148024925,2.7405760379782134,0.44060140820045557,0.4376379615673873,5.12014110196759
6,FPC 2,test,0.9466666666666667,-0.0033333333333332993,2.2414998840292286,2.664605783144244,0.4404695286171504,0.41646484714180104,5.38220668421992
6,FPC 3,train,0.949928469241774,-7.153075822596833e-05,1.1872481360775717,1.5029229851658292,0.2662481270099689,0.26408263624173,4.49574479024367
6,FPC 3,test,0.9633333333333334,0.01333333333333342,1.1880840318749344,1.4220429904380698,0.2664553465626152,0.2484707860621033,4.78158438947419
6,FPC 4,train,0.9470672389127325,-0.002932761087267477,0.9540924049263686,1.1909257277691458,0.22363425509620216,0.22256018586233947,4.286896154537295
6,FPC 4,test,0.9466666666666667,-0.0033333333333332993,0.9549495098615682,1.1573205583996578,0.2231750458334175,0.21725519885772682,4.395519715442726
6,FPC 5,train,0.9484978540772532,-0.0015021459227467782,0.877112340718209,1.114785573904444,0.20768972711385758,0.20643529963997148,4.2488486331936235
6,FPC 5,test,0.9533333333333334,0.0033333333333334103,0.875988611253599,1.0720720409949203,0.2076896229087982,0.20228836945055853,4.330395334308629
6,FPC 6,train,0.949928469241774,-7.153075822596833e-05,0.7630244833439884,0.9727767546374367,0.1869958366868594,0.1859192254558312,4.104064447736525
6,FPC 6,test,0.9266666666666666,-0.023333333333333317,0.7629444165850676,1.1075694354657208,0.18704021300811394,0.20657353586799687,3.693330868251192
